application_id,apply_time,id_number,phone_number,device_id,ip_address,apply_region,apply_channel,loan_amount,apply_freq_7d,id_consistency,is_new_device,credit_history,fraud_flag
APP000001,2026-07-21 03:01:00,513813795610077732,13955030011,DEV_147325,223.104.90.26,湖南,APP,13561.5,1,1,0,有记录,0
APP000002,2026-07-24 08:15:00,513043884302178167,13205806587,DEV_520535,103.17.47.31,浙江,H5,43978.77,10,1,1,无记录,1
APP000003,2026-07-08 04:47:00,511937455611404288,15662990246,DEV_344847,192.168.224.100,广东,线下,17834.16,2,1,1,有记录,0
APP000004,2026-07-04 21:47:00,516596789760987312,17673927597,DEV_313716,10.0.120.143,四川,APP,10119.73,2,1,0,有记录,0
APP000005,2026-07-29 17:05:00,519893201265789826,19743012179,DEV_129440,192.168.122.194,北京,APP,13474.3,2,1,0,无记录,0
APP000006,2026-07-19 13:02:00,517223034202847190,13401360817,DEV_587938,192.168.79.144,浙江,H5,23594.72,2,1,0,有记录,0
APP000007,2026-07-01 02:13:00,512721704861867066,19376833320,DEV_275701,10.0.203.97,湖南,APP,19721.65,3,1,0,有记录,0
APP000008,2026-07-08 16:38:00,515596983845720266,15182551138,DEV_456156,172.16.161.244,四川,H5,9351.79,2,1,0,无记录,0
APP000009,2026-07-01 17:12:00,511933595616420595,15853104946,DEV_530487,117.136.25.22,湖南,APP,3787.73,1,1,1,有记录,0
APP000010,2026-07-23 20:44:00,514588208934868839,15390080916,DEV_101231,223.104.187.87,湖南,APP,26567.88,1,1,0,无记录,0
APP000011,2026-07-18 13:14:00,519805117160398863,18182142091,DEV_584737,117.136.90.237,湖南,APP,14798.35,1,1,0,有记录,0
APP000012,2026-07-15 18:17:00,517835129592728270,19950274999,DEV_383175,103.36.207.161,境外,APP,49973.47,13,0,1,有记录,1
APP000013,2026-07-26 00:48:00,516266954132971506,13775582258,DEV_895336,172.16.147.239,湖南,线下,19944.67,3,1,1,有记录,0
APP000014,2026-07-26 05:44:00,518458263280944858,13251924223,DEV_473367,172.16.43.19,湖南,APP,28009.1,3,1,0,有记录,0
APP000015,2026-07-14 10:17:00,519596363726294206,15248232294,DEV_928109,117.136.64.128,广东,H5,19613.96,2,1,1,有记录,0
APP000016,2026-07-05 06:48:00,518851542144773244,17853285439,DEV_243576,117.136.194.51,山东,APP,9427.42,1,1,0,有记录,0
APP000017,2026-07-11 03:05:00,511661592738740299,15916111825,DEV_787799,192.168.54.196,浙江,APP,13333.47,1,1,1,无记录,0
APP000018,2026-07-13 03:22:00,512058760545769475,13985637936,DEV_817972,223.104.50.233,北京,线下,26659.14,1,1,1,有记录,0
APP000019,2026-07-28 11:38:00,512172224050764871,19198461971,DEV_592068,223.104.87.148,上海,APP,8020.89,2,1,0,有记录,0
APP000020,2026-07-09 01:46:00,518172105524728633,18999260223,DEV_596558,223.104.46.126,北京,H5,4050.4,3,1,0,无记录,0
APP000021,2026-07-15 17:07:00,517412982665702793,19584969042,DEV_486172,223.104.119.110,山东,合作渠道,20824.29,2,1,0,有记录,0
APP000022,2026-07-30 12:05:00,516355647292931438,18534774523,DEV_983675,117.136.127.122,四川,H5,28447.89,2,1,0,有记录,0
APP000023,2026-07-18 09:53:00,512807683625366677,17714078997,DEV_439572,223.104.94.146,湖南,线下,16756.34,1,1,1,有记录,0
APP000024,2026-07-21 19:56:00,511313223423216110,17652077496,DEV_884828,10.0.93.202,江苏,APP,25587.06,1,1,1,无记录,0
APP000025,2026-07-28 11:36:00,517154853465579220,19325580609,DEV_816389,117.136.109.19,四川,APP,2319.88,3,1,1,无记录,0
APP000026,2026-07-07 22:04:00,512408985739083521,13398826584,DEV_861803,10.0.214.199,湖南,APP,15022.39,2,1,1,无记录,0
APP000027,2026-07-02 21:14:00,514737884437066187,19940133774,DEV_640994,172.16.23.125,北京,H5,13418.83,1,1,0,有记录,0
APP000028,2026-07-25 09:05:00,518512030252094523,18556394196,DEV_771092,172.16.153.19,浙江,合作渠道,25232.71,3,1,0,无记录,0
APP000029,2026-07-28 07:55:00,516387290477425859,15928379283,DEV_155425,117.136.89.57,山东,APP,22732.89,1,1,1,有记录,0
APP000030,2026-07-04 12:17:00,518893607984870450,13845718080,DEV_395610,117.136.7.246,北京,H5,14133.2,3,1,0,无记录,0
APP000031,2026-07-15 20:53:00,513223023332470739,13709590736,DEV_630389,117.136.168.140,江苏,APP,11896.49,2,1,1,有记录,0
APP000032,2026-07-12 05:23:00,518427438119953766,19778337659,DEV_806572,172.16.46.111,四川,H5,4232.8,3,1,0,有记录,0
APP000033,2026-07-12 06:42:00,517784968066405110,17677081516,DEV_260632,223.104.219.34,北京,APP,24221.12,3,1,0,有记录,0
APP000034,2026-07-09 22:59:00,518523126043260931,18189423283,DEV_219881,103.39.156.4,境外,合作渠道,28709.96,10,1,1,无记录,1
APP000035,2026-07-22 20:04:00,518486634209536773,15483959761,DEV_818922,223.104.218.104,上海,H5,49276.68,11,0,0,无记录,1
APP000036,2026-07-20 20:10:00,514621140868250952,13707442086,DEV_553814,192.168.94.222,广东,APP,8954.39,3,1,1,无记录,0
APP000037,2026-07-18 23:15:00,515403446945964883,19569674465,DEV_678475,192.168.9.25,北京,APP,21169.49,2,1,1,有记录,0
APP000038,2026-07-06 14:24:00,513085196115940821,15359697265,DEV_878039,192.168.21.58,湖南,APP,10358.61,1,1,1,有记录,0
APP000039,2026-07-09 20:44:00,516091836264488694,17184375586,DEV_603719,117.136.28.86,四川,APP,25901.32,1,1,1,无记录,0
APP000040,2026-07-18 07:43:00,512267933505573857,18829744511,DEV_446704,172.16.135.248,四川,APP,9070.99,3,1,0,有记录,0
APP000041,2026-07-11 01:14:00,512781444718939530,17639429016,DEV_809136,192.168.79.73,浙江,线下,9220.94,3,1,1,有记录,0
APP000042,2026-07-27 01:51:00,515041840398221803,17367457666,DEV_137752,10.0.192.51,四川,H5,9886.81,2,1,0,无记录,0
APP000043,2026-07-11 12:17:00,518511179931365651,19207203508,DEV_964552,223.104.249.65,上海,H5,15450.97,2,1,0,有记录,0
APP000044,2026-07-03 06:58:00,511368103903397051,17954789410,DEV_218037,10.0.195.20,山东,APP,15715.31,8,1,1,无记录,1
APP000045,2026-07-19 22:20:00,513337858471296180,18594689548,DEV_242808,172.16.255.150,上海,线下,21361.9,3,1,0,有记录,0
APP000046,2026-07-07 20:31:00,518418017226016459,18687938169,DEV_196039,117.136.4.23,湖南,H5,11762.46,3,1,0,有记录,0
APP000047,2026-07-13 20:29:00,516889683355707731,19338768340,DEV_884961,192.168.222.186,广东,APP,19977.36,3,1,0,无记录,0
APP000048,2026-07-05 08:08:00,511609984336113711,15165525688,DEV_295043,117.136.244.101,上海,H5,19937.87,3,1,0,有记录,0
APP000049,2026-07-08 23:35:00,515817071587964740,15486484788,DEV_862205,192.168.205.240,北京,H5,18652.49,3,1,1,有记录,0
APP000050,2026-07-18 08:47:00,517704253733777312,17903575808,DEV_826851,223.104.199.210,上海,APP,8209.67,1,1,0,有记录,0
APP000051,2026-07-19 13:57:00,517628723244079311,19793556088,DEV_399357,172.16.212.118,未知地区,H5,39157.54,8,1,1,无记录,1
APP000052,2026-07-19 12:23:00,511857942387367042,19251822107,DEV_947696,117.136.5.80,北京,APP,14856.65,3,1,1,有记录,0
APP000053,2026-07-08 04:32:00,514662072662925081,13961495739,DEV_448997,117.136.147.245,浙江,APP,9220.06,11,0,1,无记录,1
APP000054,2026-07-16 02:48:00,516494486959463688,19746733407,DEV_182995,192.168.88.252,上海,线下,13370.57,3,1,0,有记录,0
APP000055,2026-07-02 03:09:00,517784968066405110,17563228518,DEV_366762,223.104.58.136,江苏,线下,23381.19,2,1,1,有记录,0
APP000056,2026-07-21 05:50:00,512240984101679301,19729391917,DEV_219881,192.168.98.117,未知地区,H5,12030.65,10,1,0,无记录,1
APP000057,2026-07-22 13:38:00,517615198545829420,19876534920,DEV_477960,117.136.241.147,湖南,APP,28583.81,2,1,1,有记录,0
